,full_date,home_team,home_score,away_team,away_score,season,beat
1,2010-04-01,Houston Dynamo,2,Real Salt Lake,1,reg,10H30
2,2010-04-10,Houston Dynamo,0,LA Galaxy,2,reg,10H30
3,2010-04-17,Houston Dynamo,3,Chivas USA,0,reg,10H30
5,2010-05-01,Houston Dynamo,3,Sporting KC,0,reg,10H30
6,2010-05-05,Houston Dynamo,0,FC Dallas,1,reg,10H30
9,2010-05-22,Houston Dynamo,2,D.C. United,0,reg,10H30
10,2010-05-29,Houston Dynamo,2,Philadelphia,3,reg,10H30
13,2010-06-26,Houston Dynamo,2,Colorado,2,reg,10H30
15,2010-07-10,Houston Dynamo,0,Columbus,0,reg,10H30
17,2010-07-31,Houston Dynamo,2,NY Red Bulls,2,reg,10H30
20,2010-08-21,Houston Dynamo,4,Chicago,3,reg,10H30
22,2010-09-05,Houston Dynamo,1,San Jose,2,reg,10H30
23,2010-09-18,Houston Dynamo,1,Toronto FC,2,reg,10H30
27,2010-10-10,Houston Dynamo,1,New England,2,reg,10H30
30,2011-03-19,Houston Dynamo,0,Philadelphia,1,reg,10H30
33,2011-04-10,Houston Dynamo,3,Vancouver,1,reg,10H30
34,2011-04-17,Houston Dynamo,1,New England,0,reg,10H30
36,2011-04-29,Houston Dynamo,4,D.C. United,1,reg,10H30
37,2011-05-04,Houston Dynamo,1,Colorado,2,reg,10H30
40,2011-05-21,Houston Dynamo,2,NY Red Bulls,2,reg,10H30
42,2011-05-28,Houston Dynamo,2,FC Dallas,2,reg,10H30
44,2011-06-11,Houston Dynamo,2,Chivas USA,1,reg,10H30
45,2011-06-18,Houston Dynamo,0,Columbus,2,reg,10H30
48,2011-07-09,Houston Dynamo,2,Toronto FC,0,reg,10H30
49,2011-07-16,Houston Dynamo,1,Sporting KC,1,reg,10H30
53,2011-08-14,Houston Dynamo,2,Portland,1,reg,10H30
55,2011-08-20,Houston Dynamo,3,Real Salt Lake,2,reg,10H30
59,2011-09-17,Houston Dynamo,2,San Jose,1,reg,10H30
61,2011-10-01,Houston Dynamo,1,Chicago,1,reg,10H30
63,2011-10-23,Houston Dynamo,3,LA Galaxy,1,reg,10H30
71,2012-05-12,Houston Dynamo,1,D.C. United,0,reg,10H30
72,2012-05-15,Houston Dynamo,0,Portland,0,reg,10H30
74,2012-05-26,Houston Dynamo,2,LA Galaxy,1,reg,10H30
76,2012-06-16,Houston Dynamo,2,FC Dallas,1,reg,10H30
77,2012-06-20,Houston Dynamo,3,Toronto FC,3,reg,10H30
79,2012-06-30,Houston Dynamo,2,Philadelphia,1,reg,10H30
80,2012-07-03,Houston Dynamo,0,Chicago,0,reg,10H30
82,2012-07-15,Houston Dynamo,4,D.C. United,0,reg,10H30
83,2012-07-18,Houston Dynamo,2,Sporting KC,1,reg,10H30
84,2012-07-21,Houston Dynamo,3,Montreal,0,reg,10H30
86,2012-08-03,Houston Dynamo,2,NY Red Bulls,0,reg,10H30
88,2012-08-19,Houston Dynamo,2,Columbus,2,reg,10H30
89,2012-08-25,Houston Dynamo,1,Toronto FC,1,reg,10H30
91,2012-09-06,Houston Dynamo,1,Real Salt Lake,0,reg,10H30
94,2012-09-29,Houston Dynamo,2,New England,0,reg,10H30
95,2012-10-06,Houston Dynamo,1,Montreal,1,reg,10H30
96,2012-10-20,Houston Dynamo,3,Philadelphia,1,reg,10H30
98,2013-03-02,Houston Dynamo,2,D.C. United,0,reg,10H30
100,2013-03-23,Houston Dynamo,2,Vancouver,1,reg,10H30
101,2013-03-30,Houston Dynamo,2,San Jose,0,reg,10H30
103,2013-04-14,Houston Dynamo,2,Chicago,1,reg,10H30
105,2013-04-28,Houston Dynamo,1,Colorado,1,reg,10H30
108,2013-05-12,Houston Dynamo,0,Sporting KC,1,reg,10H30
109,2013-05-18,Houston Dynamo,0,New England,2,reg,10H30
113,2013-06-22,Houston Dynamo,0,Toronto FC,0,reg,10H30
115,2013-07-06,Houston Dynamo,1,Philadelphia,0,reg,10H30
117,2013-07-27,Houston Dynamo,1,Chicago,1,reg,10H30
118,2013-08-03,Houston Dynamo,3,Columbus,1,reg,10H30
124,2013-09-08,Houston Dynamo,1,NY Red Bulls,4,reg,10H30
126,2013-09-21,Houston Dynamo,5,Chivas USA,1,reg,10H30
128,2013-10-04,Houston Dynamo,1,Montreal,0,reg,10H30
129,2013-10-09,Houston Dynamo,0,Sporting KC,0,reg,10H30
130,2013-10-20,Houston Dynamo,0,NY Red Bulls,3,reg,10H30
132,2014-03-08,Houston Dynamo,4,New England,0,reg,10H30
133,2014-03-15,Houston Dynamo,1,Montreal,0,reg,10H30
135,2014-04-05,Houston Dynamo,1,FC Dallas,4,reg,10H30
139,2014-04-27,Houston Dynamo,1,Portland,1,reg,10H30
141,2014-05-07,Houston Dynamo,1,Columbus,0,reg,10H30
142,2014-05-11,Houston Dynamo,2,Real Salt Lake,5,reg,10H30
143,2014-05-17,Houston Dynamo,1,LA Galaxy,0,reg,10H30
147,2014-06-06,Houston Dynamo,0,Sporting KC,2,reg,10H30
149,2014-07-04,Houston Dynamo,2,NY Red Bulls,2,reg,10H30
151,2014-07-19,Houston Dynamo,2,Toronto FC,2,reg,10H30
152,2014-08-03,Houston Dynamo,1,D.C. United,0,reg,10H30
154,2014-08-15,Houston Dynamo,2,Philadelphia,0,reg,10H30
157,2014-09-06,Houston Dynamo,3,Montreal,2,reg,10H30
158,2014-09-13,Houston Dynamo,2,Columbus,2,reg,10H30
160,2014-09-28,Houston Dynamo,2,Chicago,0,reg,10H30
163,2014-10-12,Houston Dynamo,1,D.C. United,3,reg,10H30
164,2014-10-16,Houston Dynamo,1,New England,2,reg,10H30
166,2015-03-07,Houston Dynamo,1,Columbus,0,reg,10H30
167,2015-03-13,Houston Dynamo,0,Orlando,1,reg,10H30
169,2015-03-28,Houston Dynamo,0,Colorado,0,reg,10H30
171,2015-04-11,Houston Dynamo,3,Montreal,0,reg,10H30
173,2015-04-25,Houston Dynamo,4,Sporting KC,4,reg,10H30
174,2015-05-01,Houston Dynamo,1,FC Dallas,4,reg,10H30
175,2015-05-05,Houston Dynamo,0,San Jose,1,reg,10H30
177,2015-05-16,Houston Dynamo,3,Portland,1,reg,10H30
180,2015-06-05,Houston Dynamo,4,NY Red Bulls,2,reg,10H30
183,2015-07-03,Houston Dynamo,1,Chicago,1,reg,10H30
186,2015-07-25,Houston Dynamo,3,LA Galaxy,0,reg,10H30
188,2015-08-08,Houston Dynamo,2,San Jose,1,reg,10H30
192,2015-08-29,Houston Dynamo,2,Vancouver,0,reg,10H30
193,2015-09-12,Houston Dynamo,1,Real Salt Lake,3,reg,10H30
195,2015-09-23,Houston Dynamo,1,Sporting KC,0,reg,10H30
196,2015-09-26,Houston Dynamo,3,Colorado,2,reg,10H30
200,2016-03-06,Houston Dynamo,3,New England,3,reg,10H30
201,2016-03-12,Houston Dynamo,5,FC Dallas,0,reg,10H30
205,2016-04-15,Houston Dynamo,1,LA Galaxy,4,reg,10H30
208,2016-05-07,Houston Dynamo,2,Sporting KC,0,reg,10H30
210,2016-05-15,Houston Dynamo,1,Real Salt Lake,0,reg,10H30
214,2016-06-18,Houston Dynamo,0,D.C. United,0,reg,10H30
216,2016-07-02,Houston Dynamo,1,Philadelphia,0,reg,10H30
219,2016-07-23,Houston Dynamo,0,Vancouver,0,reg,10H30
220,2016-07-31,Houston Dynamo,1,San Jose,1,reg,10H30
222,2016-08-14,Houston Dynamo,1,Toronto FC,1,reg,10H30
225,2016-08-27,Houston Dynamo,1,FC Dallas,3,reg,10H30
228,2016-09-24,Houston Dynamo,3,Portland,1,reg,10H30
229,2016-09-30,Houston Dynamo,0,NYCFC,2,reg,10H30
230,2016-10-08,Houston Dynamo,2,Colorado,3,reg,10H30
232,2016-10-16,Houston Dynamo,0,LA Galaxy,1,reg,10H30
234,2017-03-04,Houston Dynamo,2,Seattle,1,reg,10H30
235,2017-03-11,Houston Dynamo,3,Columbus,1,reg,10H30
237,2017-04-01,Houston Dynamo,4,NY Red Bulls,1,reg,10H30
239,2017-04-15,Houston Dynamo,2,Minnesota,2,reg,10H30
240,2017-04-22,Houston Dynamo,2,San Jose,0,reg,10H30
242,2017-05-06,Houston Dynamo,4,Orlando,0,reg,10H30
243,2017-05-12,Houston Dynamo,2,Vancouver,1,reg,10H30
247,2017-05-31,Houston Dynamo,5,Real Salt Lake,1,reg,10H30
250,2017-06-23,Houston Dynamo,1,FC Dallas,1,reg,10H30
252,2017-07-05,Houston Dynamo,3,Montreal,1,reg,10H30
255,2017-07-29,Houston Dynamo,2,Portland,2,reg,10H30
257,2017-08-12,Houston Dynamo,3,San Jose,0,reg,10H30
260,2017-09-09,Houston Dynamo,0,Colorado,1,reg,10H30
263,2017-09-27,Houston Dynamo,3,LA Galaxy,3,reg,10H30
264,2017-09-30,Houston Dynamo,2,Minnesota,1,reg,10H30
265,2017-10-11,Houston Dynamo,2,Sporting KC,1,reg,10H30
267,2017-10-22,Houston Dynamo,3,Chicago,0,reg,10H30
1,2011-11-03,Houston Dynamo,1,Philadelphia Union,0,plo,10H30
5,2012-11-04,Houston Dynamo,2,Sporting Kansas City,0,plo,10H30
7,2012-11-11,Houston Dynamo,3, Washington D.C. United,1,plo,10H30
10,2013-10-31,Houston Dynamo,3,Montreal Impact,0,plo,10H30
11,2013-11-03,Houston Dynamo,2,New York Red Bulls,2,plo,10H30
13,2013-11-09,Houston Dynamo,0,Sporting Kansas City,0,plo,10H30
15,2017-10-26,Houston Dynamo,1,Kansas City,0,plo,10H30
16,2017-10-30,Houston Dynamo,0,Portland Tumbers,0,plo,10H30
18,2017-11-21,Houston Dynamo,0,Seattle,2,plo,10H30
