,Area_sq_mi,Beats,Beats_0,District,OBJECTID,OBJECTID_1,OBJECTID_12,Perimet_mi,Shape_Leng,address,geometry,name
44,2.30843079,10H50,10H50,10.0,43.0,45.0,45.0,6.79805543,35893.7326559,,"POLYGON ((-95.35948290262172 29.74306939115621, -95.3589103915218 29.74279989254246, -95.35834399913448 29.74247720065815, -95.35764999721849 29.74203419207398, -95.35647499724598 29.74127519667159, -95.35630699757448 29.74102319630537, -95.35610900468717 29.7408121980991, -95.35494198895609 29.73999118949311, -95.35276699632527 29.73858018940023, -95.35163099735504 29.73787619782399, -95.34887599511539 29.73614819707038, -95.34747999546259 29.73524618882156, -95.34601499372023 29.73429419730418, -95.3456639974691 29.73405018897977, -95.34532900305236 29.73378718787701, -95.34404699375044 29.73276818781431, -95.34376499411972 29.73246519580373, -95.34349799486785 29.73224219013005, -95.34290298536666 29.73171519562874, -95.34265100168163 29.73151719608911, -95.34231499305652 29.73123119585488, -95.34191099431823 29.73089919604274, -95.34105599341525 29.73017018742277, -95.34020899247382 29.72949719519929, -95.33983499248255 29.7292631881849, -95.33952299066733 29.72908719529743, -95.33766099208492 29.72819619456058, -95.33736399288951 29.72733418700223, -95.33727999150844 29.72707519515907, -95.33724899452926 29.72710519584943, -95.3366849914742 29.72537018757728, -95.33550999210205 29.72180319511861, -95.3345709918504 29.71900319389485, -95.33382399112617 29.71673519348862, -95.3336939909095 29.71639618511101, -95.33354099061788 29.71593018620643, -95.3334949900858 29.7157281848575, -95.33322799088877 29.71491018442514, -95.33311399078134 29.71456618629536, -95.33321299824529 29.7144561920022, -95.33335799088128 29.71422919288749, -95.33342699914917 29.71412019245787, -95.3337169908397 29.71365719311021, -95.334112990034 29.71336318551915, -95.33461699362583 29.71336318411538, -95.33550199101957 29.71377918451509, -95.3358299908205 29.71393518440916, -95.33711899211809 29.71454218457615, -95.33812699183825 29.71504718482941, -95.33842399233458 29.71504718513287, -95.33882099114852 29.71494218558369, -95.33901199303099 29.7146642000058, -95.33914899169484 29.71444818420894, -95.33924799231531 29.71428618445895, -95.33948499213665 29.71451519296693, -95.33962899175077 29.71469018645734, -95.33978199216865 29.71493119266913, -95.33989699159851 29.71514819318475, -95.33998799212857 29.71538119319708, -95.34004899250422 29.71551318525147, -95.34007999233542 29.71564619172598, -95.34005699938899 29.71573819240333, -95.34004899334001 29.71578519306237, -95.3409799920952 29.71609818532103, -95.34153699328688 29.71629119287032, -95.34220099278905 29.71649919181257, -95.34588599365139 29.71760319320661, -95.34844099518429 29.718370193477, -95.35001299490149 29.71884819289075, -95.35259899531842 29.71964019273817, -95.35225599590513 29.72047218729503, -95.35216499520693 29.72075019347886, -95.35195899570041 29.72123318594237, -95.35423199701555 29.72191519517124, -95.35500300471158 29.72214119271218, -95.35575799694924 29.72237719307079, -95.35605600535958 29.72247119336451, -95.35642899761579 29.72255318703744, -95.35717699702731 29.72269719376275, -95.3574899971205 29.72278119243814, -95.35779499788961 29.72283318592248, -95.35823799684263 29.72285418755468, -95.35852000557215 29.72287119288852, -95.35870299831733 29.72289619361477, -95.35893900641322 29.72295118604832, -95.3598399971998 29.72322819464189, -95.36145699889481 29.72373519396425, -95.36169399832494 29.72382718655311, -95.3618689985652 29.72393319411815, -95.3620219978168 29.72408019295141, -95.36226600610003 29.72435919383472, -95.36248699886225 29.72458019323664, -95.36285299864875 29.72479618514808, -95.36437199802783 29.72569618682359, -95.36607299959407 29.72674519491389, -95.36778200187699 29.72777119384886, -95.36949099976785 29.72881119540667, -95.37033800153264 29.72930618613839, -95.37122300092481 29.72983919395308, -95.37168100017338 29.73011318601277, -95.37157400054008 29.73036918627457, -95.37138300316111 29.73088218602892, -95.37133000079885 29.73106119380107, -95.37124600082988 29.73133619524022, -95.37119999926789 29.73154418787657, -95.37117700140696 29.73175919457847, -95.3711920007709 29.73193719464871, -95.37122300161177 29.73207019572801, -95.37106299905682 29.73247618766316, -95.3709560008319 29.73267919508611, -95.37081800098915 29.73291918724658, -95.37052099869311 29.73335019445634, -95.37025400120001 29.73369119519719, -95.36935400051107 29.7349901950466, -95.36926200028108 29.73521719626768, -95.3689340005581 29.73566219626163, -95.3686520010358 29.736043196324, -95.36837700116425 29.73641319693544, -95.36785800783215 29.73710919421216, -95.36746899958545 29.73765718886834, -95.36697300117301 29.73833218642126, -95.36654600096433 29.73890819707039, -95.36603500057288 29.73953919611167, -95.36546300020764 29.74020718899302, -95.36503499949777 29.74070118891562, -95.36428799979333 29.74179419640071, -95.36404400034245 29.74214719016095, -95.36392900003392 29.74207419583962, -95.36351700035027 29.74267519034989, -95.36336500050461 29.74301519745427, -95.36310500761167 29.74317519011747, -95.36288399925061 29.74328418715157, -95.36273149836852 29.74333719331344, -95.36257899729587 29.74339020020277, -95.36230399892186 29.74345919895383, -95.36200699949046 29.74348919009535, -95.36164800733485 29.74350919695651, -95.36102199879934 29.74343419795035, -95.3607929958018 29.74339419861264, -95.3603809990739 29.74329719573709, -95.35954199896941 29.7430971889819, -95.35948290262172 29.74306939115621))",
47,2.73862779,10H80,10H80,10.0,46.0,48.0,48.0,7.58678325,40058.2155481,,"POLYGON ((-95.41133100962757 29.69832918604841, -95.41177301007154 29.69774717880966, -95.41204000962976 29.69739317844154, -95.41398601060754 29.69771118635932, -95.41493901863365 29.69786217836156, -95.41610701829686 29.69797317826225, -95.41693801140894 29.69805318645071, -95.41802901108431 29.69765218621886, -95.41807501232569 29.69761418663151, -95.41815101326117 29.69783717876041, -95.41820501317127 29.69915717953762, -95.4182120113777 29.69974417977442, -95.41822801216288 29.70071017998024, -95.41820501199142 29.70182717881889, -95.41822801274999 29.70275817966972, -95.41825001228614 29.70322218751709, -95.41825801114827 29.70358017970127, -95.41825001188877 29.70439618777428, -95.41828101011414 29.70526817957844, -95.41827478763466 29.70594033052238, -95.41827301086353 29.70613218667531, -95.41829601243106 29.706168180119, -95.41828901154798 29.70706918067587, -95.4182890122984 29.70718318857282, -95.41830401159636 29.70790018891148, -95.41831101317902 29.70866718610866, -95.4183340116585 29.70876418892476, -95.41831901206581 29.70946018949114, -95.4183270116859 29.70959218204546, -95.4183270134436 29.71023518094667, -95.41835001999478 29.71040819121679, -95.41831901313414 29.71093318098536, -95.41836501221998 29.71112418063858, -95.41835700898818 29.71147118831766, -95.41836501212374 29.71183719006814, -95.4183720122319 29.71258318134798, -95.4183950132241 29.71341419015254, -95.41840301280261 29.71419618179779, -95.41841101319795 29.71430518237578, -95.41840301153668 29.71505918302774, -95.41842601216796 29.71585619143312, -95.41843401358338 29.71598918213598, -95.41844101358097 29.71665119035027, -95.41845600559768 29.71718318278495, -95.41845600450364 29.71744119075111, -95.41847201287946 29.71825318273939, -95.41848701293173 29.71903719023585, -95.4184950125444 29.71934818993023, -95.41850201067129 29.71983818384693, -95.4185170118151 29.72045418344628, -95.41851001212352 29.72064918309528, -95.41851701301101 29.7211371874369, -95.41851701379228 29.72146218281494, -95.41854001364881 29.72229119100776, -95.41852501213178 29.72310618455705, -95.41852501372854 29.72330618879157, -95.41854801319761 29.7239111842498, -95.41855601136571 29.72434918467266, -95.41856300551478 29.7246511917623, -95.41858262647591 29.72549567710285, -95.41848371861605 29.72557294716927, -95.41849906791936 29.72583726479462, -95.41850509655821 29.72636523675726, -95.4185235271289 29.7272065061991, -95.41852741377218 29.72787451398704, -95.4185418507365 29.72859219653893, -95.4185274122283 29.73033287784953, -95.41738613676993 29.73034664695583, -95.41627899370944 29.73035405125593, -95.41290026562827 29.73063955618417, -95.41284901253981 29.73064218251171, -95.41199401176524 29.73068219707962, -95.4105900110382 29.73070118524402, -95.40768401093916 29.73076219376452, -95.40608901014612 29.73078719393255, -95.40441100911953 29.73083619321501, -95.40211292042291 29.73096568844262, -95.39945900851124 29.73111518477205, -95.39751400848967 29.73122318593118, -95.39470600403726 29.7314221865232, -95.39455984812197 29.73143402423806, -95.39360700279165 29.73151119347928, -95.39349472475332 29.73152059861334, -95.3934792634129 29.73152189380746, -95.39347921052479 29.7315218977996, -95.39347917836589 29.73152190054446, -95.39111300566046 29.73171418644911, -95.38904500498091 29.73188919392581, -95.38876300536049 29.73189718655725, -95.38838900647475 29.73190619428289, -95.38782400467169 29.73193319422472, -95.38726000546141 29.73196119461706, -95.38675600543702 29.73199018727484, -95.38631401169481 29.73199819465814, -95.38538300405767 29.73203418515297, -95.38505501207001 29.73205519385739, -95.3846050046606 29.73207019530361, -95.38516201251082 29.73137618635555, -95.38550500566971 29.730947186314, -95.3859930049034 29.7303041858636, -95.38648900529023 29.72967119440047, -95.38673300538396 29.72937518587739, -95.38693900565177 29.7291021855734, -95.38741200528192 29.72850019365569, -95.38793900484238 29.72783019307471, -95.38842701288877 29.7272271942282, -95.38890800536176 29.72664818616779, -95.38930400475969 29.72612918592351, -95.38959400585208 29.72579318557656, -95.39024300539859 29.72496018539937, -95.39060100478001 29.72453419216461, -95.39058600643877 29.72432819308216, -95.39062400567846 29.72407319168784, -95.39070800501702 29.7239221934137, -95.39086100606941 29.72374819297913, -95.39117400579707 29.72364718470337, -95.39131100507994 29.7235751840857, -95.39164700491078 29.72315318462368, -95.39263100516855 29.7219001833794, -95.39364600523533 29.72063419171862, -95.39433200583956 29.71975819228778, -95.3954920060378 29.71829919173283, -95.39622400669019 29.71737418360835, -95.39742200678783 29.71588618363296, -95.39920701608543 29.71362218474069, -95.39996300854048 29.71263118203268, -95.40087100741556 29.71148018976371, -95.40181700695425 29.71030218996226, -95.40306000780893 29.70873018859762, -95.40431201697308 29.7071641896158, -95.40504400930875 29.70625218094388, -95.40664601671895 29.70421718215556, -95.40724100879346 29.70343518048774, -95.40782100866559 29.70272917984958, -95.4089880097663 29.70124217732034, -95.40962200896958 29.70043717957418, -95.41133100962757 29.69832918604841))",
72,10.0079174,15E40,15E40,15.0,71.0,73.0,73.0,15.2984551,80775.8429063,,"POLYGON ((-95.39751400695724 29.69697917975505, -95.39739900566488 29.69651917868152, -95.39653700607052 29.69672318704776, -95.39578200644661 29.69693718660713, -95.39302000476255 29.69759918750841, -95.39171500406123 29.69789418682973, -95.39152500483571 29.69795217955246, -95.39060100484154 29.69814218691761, -95.38693200317985 29.69886118092192, -95.38703100385088 29.69857917911909, -95.38741200394585 29.69744218011351, -95.38791600355924 29.69605417821683, -95.38819100294106 29.6951801795682, -95.38864100358057 29.69388918685708, -95.38889200366063 29.69315118679679, -95.38913700405674 29.6924301870602, -95.38937300311368 29.6917151861403, -95.38986900290692 29.69028618569244, -95.39038000338158 29.68880217759101, -95.3877860024041 29.68807917775296, -95.3835060021257 29.68674818468489, -95.38307100256264 29.68656718477171, -95.38278900085939 29.68636117727752, -95.38258300166966 29.6861371784643, -95.38170600237918 29.68666217788786, -95.38126300225088 29.68683718558237, -95.38080500122189 29.68693517668132, -95.38027900196913 29.68696717802412, -95.3799810012883 29.68696518584933, -95.37956899948317 29.68693917738728, -95.37984400190317 29.68643517764809, -95.38028700048028 29.68575018538513, -95.38190400187267 29.68339318332792, -95.38259800927642 29.68234417601842, -95.38280401006634 29.68204017653269, -95.38307900169421 29.68174118362899, -95.38337600246633 29.68153518506728, -95.38381900134576 29.68136018346847, -95.38464300155177 29.68111918426055, -95.38556600371308 29.68084118348784, -95.38616900285562 29.68058918354695, -95.38735100310137 29.68057417702987, -95.38735100296385 29.680392184671, -95.38684000224359 29.68040217580107, -95.38591700200264 29.68029917670882, -95.38431500139227 29.68018517597768, -95.38338400128755 29.68012517634595, -95.38310200140148 29.68010818330628, -95.38256800867484 29.6801641840318, -95.38245300946812 29.68010417626713, -95.3823310014151 29.68000018354977, -95.38221700088302 29.6798791847951, -95.3821100020341 29.67973817669546, -95.38199600146896 29.67951918425259, -95.38210200105756 29.67934218359292, -95.38208700157905 29.6748501750029, -95.38212500250833 29.67408518313148, -95.38212500027464 29.67391118433647, -95.38215600108141 29.67364818186526, -95.38224700167855 29.67284918889809, -95.38232400157948 29.67226118375831, -95.38257500172151 29.67127018171099, -95.38280400969904 29.67046117367823, -95.38294200143189 29.66967718112435, -95.38326200192351 29.6690931822622, -95.3829110014525 29.66885918137784, -95.38365100048473 29.66746418243179, -95.38527600108273 29.66436118022648, -95.38587100233305 29.66326818034899, -95.38616099462911 29.662685172513, -95.38649700419903 29.66190118019671, -95.38656600162413 29.66166417931523, -95.38703900225745 29.66016118017671, -95.38718400106667 29.65961617099063, -95.38739700134532 29.65860917122381, -95.38753400240699 29.65770617935739, -95.38760300218142 29.65714417903137, -95.38769500238847 29.65579517142261, -95.38767200201531 29.6535071777325, -95.38766400220774 29.65293217810766, -95.3875800012261 29.64895617790075, -95.3874960008267 29.64359616778702, -95.38791600103234 29.64359616758948, -95.39033400159344 29.64339417599308, -95.39059400198687 29.64340516890161, -95.39219600933276 29.64338617664383, -95.39359200302987 29.64352916758129, -95.39518701153402 29.64338416853403, -95.39650700363883 29.64315716620234, -95.40066500517366 29.6428921754283, -95.40351000554712 29.64271517490524, -95.40584500563371 29.64265016703567, -95.40708900651128 29.64262117565324, -95.40794300639824 29.64294216818243, -95.43926901475837 29.65481916895624, -95.43949101484367 29.65471017006687, -95.44053601649532 29.65429617745698, -95.44122301575914 29.65408616881072, -95.44149001492335 29.65400617538572, -95.44307601561815 29.65364417633958, -95.44337401704577 29.6536081761639, -95.44359501674226 29.65357116843778, -95.44481601554737 29.65347416785907, -95.44525801625744 29.65346317658037, -95.44362601654389 29.65376217655677, -95.44319101532206 29.65389916776377, -95.44274801565777 29.65408817647759, -95.44237501604532 29.65433617724819, -95.44197801527883 29.65468016944699, -95.44175701486016 29.65498116896293, -95.4415510225502 29.65538017781822, -95.44143601510584 29.65566816882851, -95.44138300824518 29.65585817807287, -95.44134501626229 29.65611017775413, -95.44133701614675 29.6566591701982, -95.44135200934646 29.65859917707699, -95.44132901578078 29.65892717788108, -95.44132201686786 29.65912717777626, -95.4412990163535 29.65935317803175, -95.44129101631292 29.65945717000055, -95.44121501618977 29.65982717020661, -95.44107802379376 29.66019217730787, -95.44088701530305 29.6605731697014, -95.43983401601093 29.66193517765258, -95.43970401605985 29.66225717098881, -95.43931501627253 29.66274817114575, -95.43767501316553 29.66482517159327, -95.4351500141629 29.66805017140489, -95.43347901427111 29.67013517280777, -95.43259401383172 29.67123318058071, -95.43193801425943 29.67208017237169, -95.43049601362591 29.67390017355572, -95.42937400569139 29.67532317391993, -95.42889301333878 29.67594618241142, -95.42868701425148 29.67622717336558, -95.42848101396658 29.67648618119009, -95.42790201246596 29.67726618229235, -95.42729101214486 29.67800417424488, -95.42584201429983 29.67985317515706, -95.42653601220132 29.68031418251346, -95.42687201239309 29.68079317492241, -95.42702402051513 29.68115518342334, -95.42713901302443 29.68174518292124, -95.42714601261925 29.68241817616027, -95.42717701246787 29.68323317530255, -95.42718401303108 29.68404917581951, -95.42719201296383 29.68487118392805, -95.42720701276974 29.68588817593583, -95.42722301349116 29.68682417516515, -95.42465901318799 29.68684718340075, -95.42375901321425 29.68685718464153, -95.42350701151322 29.6868641770588, -95.42324801147288 29.68691417489725, -95.4230340122897 29.68702418346898, -95.42287401324711 29.68712418396034, -95.42277501158767 29.68725517599353, -95.42263001283848 29.68745717625813, -95.42251501178865 29.68757718390262, -95.42211901255318 29.68807017560452, -95.421356012305 29.6889951761569, -95.42108101103612 29.68881718508599, -95.42091300384378 29.68876817647172, -95.42047101124643 29.68878518469372, -95.4204710118275 29.68896218421374, -95.42048601234316 29.68925218489205, -95.4205160113338 29.68944118396338, -95.42083701241283 29.68964517683787, -95.42062301416375 29.68993518436845, -95.42051601159798 29.69020417707358, -95.42052401251952 29.69049617770536, -95.42052401109122 29.69124117671116, -95.42054701282834 29.69199118558781, -95.42056201176513 29.69273317679206, -95.42058501136175 29.69351118524132, -95.42060001325976 29.69428217721325, -95.42060001310745 29.69527617711777, -95.42057001237377 29.69601617949482, -95.41983702198291 29.69614317818904, -95.4188300117916 29.69704618604299, -95.41807501232569 29.69761418663151, -95.41802901108431 29.69765218621886, -95.41693801140894 29.69805318645071, -95.41610701829686 29.69797317826225, -95.41493901863365 29.69786217836156, -95.41398601060754 29.69771118635932, -95.41204000962976 29.69739317844154, -95.41122401012099 29.69725317794623, -95.40983500839022 29.69794817837976, -95.40863000974109 29.69904318666415, -95.40802700887212 29.7004481871633, -95.40772900984183 29.70084717875005, -95.40708100974419 29.70128618753851, -95.40623400879275 29.70185418065087, -95.40586000960003 29.7020391875908, -95.40541801653636 29.70225518781738, -95.40486800850785 29.70239018861565, -95.40464000905028 29.70244518754742, -95.40302200780216 29.70244518868221, -95.40269400767188 29.70256018804741, -95.40241900855854 29.70265318699719, -95.40174000742803 29.70275818111665, -95.40009200690078 29.70275818042614, -95.3996190078301 29.7027581806923, -95.39813200766795 29.70294918791397, -95.39776500705734 29.70307918860621, -95.39672000694409 29.70345218857634, -95.39617900543224 29.70353218801882, -95.39659800565501 29.70299518849738, -95.39683500691103 29.70272917984105, -95.39713200602942 29.70249318037083, -95.39685000605459 29.70206018905997, -95.39676600599525 29.70190418093418, -95.39670500588443 29.70175518885643, -95.3967280065916 29.70106818007347, -95.39703300701909 29.69961717931039, -95.39717800550751 29.69890718732866, -95.39736900560578 29.69782218685599, -95.39751400695724 29.69697917975505))",
0,,,,,,,,,,"6100 Main St, Houston, TX 77005",POINT (-95.40932599999999 29.71633),Rice Stadium
1,,,,,,,,,,"NRG Pkwy, Houston, TX 77054",POINT (-95.410707 29.684722),NRG Stadium
2,,,,,,,,,,"501 Crawford St, Houston, TX 77002",POINT (-95.355514 29.757269),Minute Maid Park
3,,,,,,,,,,"Â 2200 Texas St, Houston, TX 77003",POINT (-95.35241499999999 29.752199),BBVA Compass Stadium
4,,,,,,,,,,"1510 Polk St, Houston, TX 77002",POINT (-95.3621 29.75076),Toyota Center
5,,,,,,,,,,"3875 Holman St, Houston TX 77004",POINT (-95.34916200000001 29.721988),TDECU Stadium
