G,Date,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
1,Aug 29 2008,Fri,Rice,,SMU,CUSA,W,56,27,1,0,W 1,
2,Sep 6 2008,Sat,Rice,@,Memphis,CUSA,W,42,35,2,0,W 2,
3,Sep 13 2008,Sat,Rice,@,Vanderbilt,SEC,L,21,38,2,1,L 1,
4,Sep 20 2008,Sat,Rice,@,(7) Texas,Big 12,L,10,52,2,2,L 2,
5,Sep 27 2008,Sat,Rice,,North Texas,Sun Belt,W,77,20,3,2,W 1,
6,Oct 4 2008,Sat,Rice,@,Tulsa,CUSA,L,28,63,3,3,L 1,
7,Oct 18 2008,Sat,Rice,,Southern Mississippi,CUSA,W,45,40,4,3,W 1,
8,Oct 25 2008,Sat,Rice,@,Tulane,CUSA,W,42,17,5,3,W 2,
9,Nov 1 2008,Sat,Rice,@,UTEP,CUSA,W,49,44,6,3,W 3,
10,Nov 8 2008,Sat,Rice,,Army,Ind,W,38,31,7,3,W 4,
11,Nov 22 2008,Sat,Rice,,Marshall,CUSA,W,35,10,8,3,W 5,
12,Nov 29 2008,Sat,Rice,,Houston,CUSA,W,56,42,9,3,W 6,
13,Dec 30 2008,Tue,Rice,,Western Michigan,MAC,W,38,14,10,3,W 7,Texas Bowl (Texas Bowl (Houston TX))
1,Sep 5 2009,Sat,Rice,@,UAB,CUSA,L,24,44,0,1,L 1,
2,Sep 12 2009,Sat,Rice,@,Texas Tech,Big 12,L,10,55,0,2,L 2,
3,Sep 19 2009,Sat,Rice,@,(16) Oklahoma State,Big 12,L,24,41,0,3,L 3,
4,Sep 26 2009,Sat,Rice,,Vanderbilt,SEC,L,17,36,0,4,L 4,
5,Oct 3 2009,Sat,Rice,,Tulsa,CUSA,L,10,27,0,5,L 5,
6,Oct 10 2009,Sat,Rice,,Navy,Ind,L,14,63,0,6,L 6,
7,Oct 17 2009,Sat,Rice,@,East Carolina,CUSA,L,13,49,0,7,L 7,
8,Oct 24 2009,Sat,Rice,,UCF,CUSA,L,7,49,0,8,L 8,
9,Nov 7 2009,Sat,Rice,@,SMU,CUSA,L,28,31,0,9,L 9,
10,Nov 14 2009,Sat,Rice,,Tulane,CUSA,W,28,20,1,9,W 1,
11,Nov 21 2009,Sat,Rice,,UTEP,CUSA,W,30,29,2,9,W 2,
12,Nov 28 2009,Sat,Rice,@,(25) Houston,CUSA,L,14,73,2,10,L 1,
1,Sep 4 2010,Sat,Rice,,(5) Texas,Big 12,L,17,34,0,1,L 1,Houston TX
2,Sep 11 2010,Sat,Rice,@,North Texas,Sun Belt,W,32,31,1,1,W 1,
3,Sep 18 2010,Sat,Rice,,Northwestern,Big Ten,L,13,30,1,2,L 1,
4,Sep 25 2010,Sat,Rice,,Baylor,Big 12,L,13,30,1,3,L 2,
5,Oct 2 2010,Sat,Rice,,SMU,CUSA,L,31,42,1,4,L 3,
6,Oct 9 2010,Sat,Rice,@,UTEP,CUSA,L,24,44,1,5,L 4,
7,Oct 16 2010,Sat,Rice,,Houston,CUSA,W,34,31,2,5,W 1,
8,Oct 23 2010,Sat,Rice,@,UCF,CUSA,L,14,41,2,6,L 1,
9,Nov 6 2010,Sat,Rice,@,Tulsa,CUSA,L,27,64,2,7,L 2,
10,Nov 13 2010,Sat,Rice,@,Tulane,CUSA,L,49,54,2,8,L 3,
11,Nov 20 2010,Sat,Rice,,East Carolina,CUSA,W,62,38,3,8,W 1,
12,Nov 27 2010,Sat,Rice,,UAB,CUSA,W,28,23,4,8,W 2,
1,Sep 3 2011,Sat,Rice,@,Texas,Big 12,L,9,34,0,1,L 1,
2,Sep 10 2011,Sat,Rice,,Purdue,Big Ten,W,24,22,1,1,W 1,
3,Sep 24 2011,Sat,Rice,@,(17) Baylor,Big 12,L,31,56,1,2,L 1,
4,Oct 1 2011,Sat,Rice,@,Southern Mississippi,CUSA,L,24,48,1,3,L 2,
5,Oct 8 2011,Sat,Rice,,Memphis,CUSA,W,28,6,2,3,W 1,
6,Oct 15 2011,Sat,Rice,@,Marshall,CUSA,L,20,24,2,4,L 1,
7,Oct 22 2011,Sat,Rice,,Tulsa,CUSA,L,20,38,2,5,L 2,
8,Oct 27 2011,Thu,Rice,@,(18) Houston,CUSA,L,34,73,2,6,L 3,
9,Nov 5 2011,Sat,Rice,,UTEP,CUSA,W,41,37,3,6,W 1,
10,Nov 12 2011,Sat,Rice,@,Northwestern,Big Ten,L,6,28,3,7,L 1,
11,Nov 19 2011,Sat,Rice,,Tulane,CUSA,W,19,7,4,7,W 1,
12,Nov 26 2011,Sat,Rice,@,SMU,CUSA,L,24,27,4,8,L 1,
1,Aug 30 2012,Thu,Rice,,UCLA,Pac-12,L,24,49,0,1,L 1,
2,Sep 8 2012,Sat,Rice,@,Kansas,Big 12,W,25,24,1,1,W 1,
3,Sep 15 2012,Sat,Rice,@,Louisiana Tech,WAC,L,37,56,1,2,L 1,
4,Sep 22 2012,Sat,Rice,,Marshall,CUSA,L,51,54,1,3,L 2,
5,Sep 29 2012,Sat,Rice,N,Houston,CUSA,L,14,35,1,4,L 3,Houston TX
6,Oct 6 2012,Sat,Rice,@,Memphis,CUSA,L,10,14,1,5,L 4,
7,Oct 13 2012,Sat,Rice,,UTSA,WAC,W,34,14,2,5,W 1,
8,Oct 20 2012,Sat,Rice,@,Tulsa,CUSA,L,24,28,2,6,L 1,
9,Oct 27 2012,Sat,Rice,,Southern Mississippi,CUSA,W,44,17,3,6,W 1,
10,Nov 3 2012,Sat,Rice,@,Tulane,CUSA,W,49,47,4,6,W 2,
11,Nov 17 2012,Sat,Rice,,SMU,CUSA,W,36,20,5,6,W 3,
12,Nov 24 2012,Sat,Rice,@,UTEP,CUSA,W,33,24,6,6,W 4,
13,Dec 29 2012,Sat,Rice,N,Air Force,MWC,W,33,14,7,6,W 5,Armed Forces Bowl (Armed Forces Bowl (Fort Worth TX))
1,Aug 31 2013,1:00 PM,Sat,Rice,@,(7) Texas A&M,SEC,L,31,52,0,1,L 1,
2,Sep 14 2013,7:30 PM,Sat,Rice,,Kansas,Big 12,W,23,14,1,1,W 1,
3,Sep 21 2013,3:00 PM,Sat,Rice,N,Houston,American,L,26,31,1,2,L 1,Reliant Stadium - Houston TX
4,Sep 28 2013,7:00 PM,Sat,Rice,,Florida Atlantic,CUSA,W,18,14,2,2,W 1,
5,Oct 5 2013,3:30 PM,Sat,Rice,@,Tulsa,CUSA,W,30,27,3,2,W 2,
6,Oct 12 2013,4:00 PM,Sat,Rice,@,UTSA,CUSA,W,27,21,4,2,W 3,
7,Oct 19 2013,8:00 PM,Sat,Rice,@,New Mexico State,Ind,W,45,19,5,2,W 4,
8,Oct 26 2013,3:30 PM,Sat,Rice,,UTEP,CUSA,W,45,7,6,2,W 5,
9,Oct 31 2013,7:30 PM,Thu,Rice,@,North Texas,CUSA,L,16,28,6,3,L 1,
10,Nov 16 2013,7:00 PM,Sat,Rice,,Louisiana Tech,CUSA,W,52,14,7,3,W 1,
11,Nov 21 2013,7:30 PM,Thu,Rice,@,UAB,CUSA,W,37,34,8,3,W 2,
12,Nov 30 2013,3:00 PM,Sat,Rice,,Tulane,CUSA,W,17,13,9,3,W 3,
13,Dec 7 2013,12:00 PM,Sat,Rice,,Marshall,CUSA,W,41,24,10,3,W 4,CUSA Championship Game
14,Dec 31 2013,4:00 PM,Tue,Rice,N,Mississippi State,SEC,L,7,44,10,4,L 1,Liberty Bowl (Memphis TN)
1,Aug 30 2014,3:30 PM,Sat,Rice,@,(17) Notre Dame,Ind,L,17,48,0,1,L 1,NBC,
2,Sep 13 2014,9:00 PM,Sat,Rice,@,(7) Texas A&M,SEC,L,10,38,0,2,L 2,ESPN 2,
3,Sep 20 2014,12:00 PM,Sat,Rice,,Old Dominion,CUSA,L,42,45,0,3,L 3,FSN MSG+ ROOT-RM,
4,Sep 27 2014,7:00 PM,Sat,Rice,@,Southern Mississippi,CUSA,W,41,23,1,3,W 1,FCS,
5,Oct 4 2014,7:00 PM,Sat,Rice,,Hawaii,MWC,W,28,14,2,3,W 2,ASN CSN-BAY TCN-PHI,
6,Oct 11 2014,12:00 PM,Sat,Rice,@,Army,Ind,W,41,21,3,3,W 3,CBSSN,
7,Oct 25 2014,12:00 PM,Sat,Rice,,North Texas,CUSA,W,41,21,4,3,W 4,FSN MSG ROOT-PIT RM,
8,Nov 1 2014,12:00 PM,Sat,Rice,@,Florida International,CUSA,W,31,17,5,3,W 5,American Sports Network,
9,Nov 8 2014,12:00 PM,Sat,Rice,,UTSA,CUSA,W,17,7,6,3,W 6,FSN-OH DET MSG+ MASN2,
10,Nov 15 2014,2:30 PM,Sat,Rice,@,(21) Marshall,CUSA,L,14,41,6,4,L 1,FSN MSG+ ROOT-PITT,
11,Nov 21 2014,8:00 PM,Fri,Rice,,UTEP,CUSA,W,31,13,7,4,W 1,FS1,
12,Nov 29 2014,12:00 PM,Sat,Rice,@,Louisiana Tech,CUSA,L,31,76,7,5,L 1,CBSSN,
13,Dec 24 2014,8:00 PM,Wed,Rice,N,Fresno State,MWC,W,30,6,8,5,W 1,ESPN,Hawaii Bowl (Honolulu HI)
1,Sep 5 2015,3:30 PM,Sat,Rice,,Wagner,Non-Major,W,56,16,1,0,W 1,,
2,Sep 12 2015,8:00 PM,Sat,Rice,@,Texas,Big 12,L,28,42,1,1,L 1,,
3,Sep 19 2015,2:30 PM,Sat,Rice,@,North Texas,CUSA,W,38,24,2,1,W 1,,
4,Sep 26 2015,3:00 PM,Sat,Rice,@,(5) Baylor,Big 12,L,17,70,2,2,L 1,,
5,Oct 3 2015,3:30 PM,Sat,Rice,,Western Kentucky,CUSA,L,10,49,2,3,L 2,,
6,Oct 10 2015,2:30 PM,Sat,Rice,@,Florida Atlantic,CUSA,W,27,26,3,3,W 1,,
7,Oct 24 2015,12:00 PM,Sat,Rice,,Army,Ind,W,38,31,4,3,W 2,,
8,Oct 30 2015,8:00 PM,Fri,Rice,,Louisiana Tech,CUSA,L,17,42,4,4,L 1,,
9,Nov 6 2015,8:00 PM,Fri,Rice,@,UTEP,CUSA,L,21,24,4,5,L 2,CBSSN,
10,Nov 14 2015,3:30 PM,Sat,Rice,,Southern Mississippi,CUSA,L,10,65,4,6,L 3,,
11,Nov 21 2015,7:00 PM,Sat,Rice,@,UTSA,CUSA,L,24,34,4,7,L 4,,
12,Nov 28 2015,3:30 PM,Sat,Rice,,Charlotte,CUSA,W,27,7,5,7,W 1,,
1,Sep 1 2016,8:00 PM,Thu,Rice,@,Western Kentucky,CUSA,L,14,46,0,1,L 1,CBSSN,
2,Sep 10 2016,12:00 PM,Sat,Rice,@,Army,Ind,L,14,31,0,2,L 2,CBSSN,
3,Sep 16 2016,8:00 PM,Fri,Rice,,(21) Baylor,Big 12,L,10,38,0,3,L 3,ESPN,
4,Sep 24 2016,6:00 PM,Sat,Rice,,North Texas,CUSA,L,35,42,0,4,L 4,,
5,Oct 1 2016,7:00 PM,Sat,Rice,@,Southern Mississippi,CUSA,L,28,44,0,5,L 5,,
6,Oct 15 2016,7:00 PM,Sat,Rice,,UTSA,CUSA,L,13,14,0,6,L 6,,
7,Oct 22 2016,3:30 PM,Sat,Rice,,Prairie View A&M,Non-Major,W,65,44,1,6,W 1,,
8,Oct 29 2016,7:00 PM,Sat,Rice,@,Louisiana Tech,CUSA,L,16,61,1,7,L 1,,
9,Nov 5 2016,3:30 PM,Sat,Rice,,Florida Atlantic,CUSA,L,25,42,1,8,L 2,ESPN3,
10,Nov 12 2016,2:00 PM,Sat,Rice,@,Charlotte,CUSA,W,22,21,2,8,W 1,,
11,Nov 19 2016,12:00 PM,Sat,Rice,,UTEP,CUSA,W,44,24,3,8,W 2,ESPN3,
12,Nov 26 2016,8:00 PM,Sat,Rice,@,Stanford,Pac-12,L,17,41,3,9,L 1,,
1,Aug 26 2017,10:00 PM,Sat,Rice,N,(14) Stanford,Pac-12,L,7,62,0,1,L 1,,
2,Sep 9 2017,8:00 PM,Sat,Rice,@,UTEP,CUSA,W,31,14,1,1,W 1,,
3,Sep 16 2017,8:00 PM,Sat,Rice,@,Houston,American,L,3,38,1,2,L 1,,
4,Sep 23 2017,7:30 PM,Sat,Rice,,Florida International,CUSA,L,7,13,1,3,L 2,,
5,Sep 30 2017,12:00 PM,Sat,Rice,@,Pitt,ACC,L,10,42,1,4,L 3,,
6,Oct 7 2017,6:30 PM,Sat,Rice,,Army,Ind,L,12,49,1,5,L 4,,
7,Oct 21 2017,7:00 PM,Sat,Rice,@,UTSA,CUSA,L,7,20,1,6,L 5,,
8,Oct 28 2017,3:30 PM,Sat,Rice,,Louisiana Tech,CUSA,L,28,42,1,7,L 6,,
9,Nov 4 2017,3:00 PM,Sat,Rice,@,UAB,CUSA,L,21,52,1,8,L 7,,
10,Nov 11 2017,3:30 PM,Sat,Rice,,Southern Mississippi,CUSA,L,34,43,1,9,L 8,,
11,Nov 18 2017,2:00 PM,Sat,Rice,@,Old Dominion,CUSA,L,21,24,1,10,L 9,,
12,Nov 25 2017,1:00 PM,Sat,Rice,,North Texas,CUSA,L,14,30,1,11,L 10,,